date,sku_id,region,units_ordered,price_usd,holiday_peak_flag,prime_event_flag,weekend_flag,marketing_push_flag,weather_disruption_index,category,unit_cost_usd,selling_price_usd,cube_ft,target_service_level,primary_warehouse_id,year,month,week_number,day_of_week,quarter,month_name,year_month,revenue,margin,margin_pct
2025-05-28,SKU-100000,East,58,160.14,0,0,1970-01-01,0,0.14,Electronics,50.98,190.65,0.55,0.959,WH-E100002,2025,5,22,2,2,May,2025-05,11057.7,8100.860000000001,73.26
2024-09-23,SKU-100001,South,14,137.74,0,0,1970-01-01,0,-2.01,Toys,14.98,175.66,1.79,0.972,WH-S100001,2024,9,39,0,3,Sep,2024-09,2459.24,2249.52,91.47
2024-11-06,SKU-100002,North,48,34.64,1,0,1970-01-01,0,0.88,Toys,22.32,198.29,0.86,0.968,WH-N100000,2024,11,45,2,4,Nov,2024-11,9517.92,8446.56,88.74
2025-04-26,SKU-100003,North,54,157.1,0,0,1970-01-01,0,-0.11,Beauty,61.85,78.7,0.76,0.931,WH-N100000,2025,4,17,5,2,Apr,2025-04,4249.8,909.9,21.41
2025-06-07,SKU-100004,West,58,80.11,0,0,1970-01-01,0,-0.16,Electronics,112.48,134.55,0.33,0.966,WH-W100003,2025,6,23,5,2,Jun,2025-06,7803.900000000001,1280.0600000000004,16.4
2024-07-21,SKU-100005,East,39,83.31,0,1,1970-01-01,0,-0.34,Home,118.88,33.69,0.21,0.975,WH-E100002,2024,7,29,6,3,Jul,2024-07,1313.91,-3322.41,-252.86
2025-04-13,SKU-100006,South,79,44.27,0,0,1970-01-01,0,1.78,Electronics,82.88,157.93,0.66,0.952,WH-S100001,2025,4,15,6,2,Apr,2025-04,12476.47,5928.950000000001,47.52
2024-12-21,SKU-100007,South,35,121.81,1,0,1970-01-01,0,0.55,Kitchen,40.39,32.87,0.64,0.972,WH-S100001,2024,12,51,5,4,Dec,2024-12,1150.4499999999998,-263.2000000000001,-22.88
2024-09-20,SKU-100008,North,44,80.2,0,0,1970-01-01,0,-0.27,Electronics,96.37,130.18,0.12,0.949,WH-N100000,2024,9,38,4,3,Sep,2024-09,5727.92,1487.64,25.97
2024-12-26,SKU-100009,East,19,156.98,1,0,1970-01-01,0,-0.27,Electronics,47.52,108.9,0.08,0.975,WH-E100002,2024,12,52,3,4,Dec,2024-12,2069.1,1166.22,56.36
2025-02-26,SKU-100010,East,27,124.24,0,0,1970-01-01,1,-0.01,Pet,68.29,97.95,0.38,0.978,WH-E100002,2025,2,9,2,1,Feb,2025-02,2644.65,800.8199999999999,30.28
2025-03-25,SKU-100011,West,63,159.96,0,0,1970-01-01,0,1.23,Kitchen,38.64,161.51,0.29,0.933,WH-W100003,2025,3,13,1,1,Mar,2025-03,10175.13,7740.809999999999,76.08
