sku_id,region,category,primary_warehouse_id,lead_time_days,target_service_level,z_score,mean_forecast,std_error,mae,wmape_combo,unit_cost_usd,selling_price_usd,cube_ft,n_days,safety_stock_units,safety_stock_value_usd,annual_storage_cost_usd,demand_during_lead_time,reorder_point_units,reorder_point_value_usd,current_stock_units,stock_gap_units,days_of_supply,urgency_level,replenishment_needed_units,replenishment_cost_usd,gross_margin_pct,daily_holding_cost_usd,forecast_model,forecast_wmape,policy_date
SKU-100000,Central,Electronics,WH-C100000,2,0.959,1.7391976652852517,47.367073,5.457900508288574,3.705857958112444,7.614776618807589,50.98,190.65,0.55,21,13.42,684.15,94.07,94.73,108.15,5513.49,166.0,57.85,3.5,LOW,0.0,0.0,73.26,0.4686,XGBoost,11.06,2026-04-09
SKU-100000,East,Electronics,WH-E100000,4,0.959,1.7391976652852517,55.374466,5.338998833589512,4.342560359409878,8.013512079742732,50.98,190.65,0.55,21,18.57,946.7,130.17,221.5,240.07,12238.77,300.0,59.93,5.4,MEDIUM,0.0,0.0,73.26,0.6484,XGBoost,11.06,2026-04-09
SKU-100000,North,Electronics,WH-N100000,4,0.959,1.7391976652852517,55.757168,6.034166580403939,4.8784995306105845,8.594671984637209,50.98,190.65,0.55,21,20.99,1070.07,147.13,223.03,244.02,12440.14,377.0,132.98,6.8,LOW,0.0,0.0,73.26,0.7329,XGBoost,11.06,2026-04-09
SKU-100000,South,Electronics,WH-S100000,6,0.959,1.7391976652852517,46.191326,6.185509581734083,4.438854580833798,9.580261675406696,50.98,190.65,0.55,21,26.35,1343.32,184.71,277.15,303.5,15472.43,238.0,-65.5,5.2,HIGH,369.0,18811.62,73.26,0.9201,XGBoost,11.06,2026-04-09
SKU-100000,West,Electronics,WH-W100000,6,0.959,1.7391976652852517,53.082554,7.383018484840663,6.029169355119977,10.943176866731871,50.98,190.65,0.55,21,36.17,1843.95,220.46,318.5,354.67,18081.08,800.0,445.33,15.1,ADEQUATE,0.0,0.0,73.26,1.263,XGBoost,11.06,2026-04-09
SKU-100001,Central,Toys,WH-C100000,2,0.972,1.911035647549118,9.648827,1.4745818813230995,1.09628845396496,11.568873074158509,14.98,175.66,1.79,21,3.99,59.77,26.75,19.3,23.29,348.88,14.0,-9.29,1.5,HIGH,33.0,494.34,91.47,0.0409,XGBoost,11.06,2026-04-09
SKU-100001,East,Toys,WH-E100000,4,0.972,1.911035647549118,11.676064,1.4180990582203683,1.164963790348598,10.777198013016994,14.98,175.66,1.79,21,5.42,81.19,36.33,46.7,52.12,780.76,99.0,46.88,8.5,LOW,0.0,0.0,91.47,0.0556,XGBoost,11.06,2026-04-09
SKU-100001,North,Toys,WH-N100000,4,0.972,1.911035647549118,13.15635,1.6283287695766828,1.479416847229004,12.088620105417464,14.98,175.66,1.79,21,6.22,93.18,41.7,52.63,58.85,881.57,54.0,-4.85,4.1,HIGH,64.0,958.72,91.47,0.0638,XGBoost,11.06,2026-04-09
SKU-100001,South,Toys,WH-S100000,6,0.972,1.911035647549118,9.567447,2.279057200110919,1.96790075302124,21.63660502464921,14.98,175.66,1.79,21,10.67,159.84,71.53,57.4,68.07,1019.69,74.0,5.93,7.7,MEDIUM,0.0,0.0,91.47,0.1095,XGBoost,11.06,2026-04-09
SKU-100001,West,Toys,WH-W100000,6,0.972,1.911035647549118,11.587381,1.9288974196647088,1.2254945210048132,10.90482408137832,14.98,175.66,1.79,21,10.38,155.49,60.53,69.52,79.9,1196.9,144.0,64.1,12.4,LOW,0.0,0.0,91.47,0.1065,XGBoost,11.06,2026-04-09
SKU-100002,Central,Toys,WH-C100000,2,0.968,1.8521798587690466,39.008675,6.211053356919442,5.837339855375744,16.236309510003647,22.32,198.29,0.86,21,16.27,363.15,78.08,78.02,94.29,2104.55,200.0,105.71,5.1,ADEQUATE,0.0,0.0,88.74,0.2487,XGBoost,11.06,2026-04-09
SKU-100002,East,Toys,WH-E100000,4,0.968,1.8521798587690466,41.287643,5.415752389499964,4.837389264787946,12.388435906910065,22.32,198.29,0.86,21,20.06,447.74,96.26,165.15,185.21,4133.89,91.0,-94.21,2.2,HIGH,279.0,6227.28,88.74,0.3067,XGBoost,11.06,2026-04-09
SKU-100002,North,Toys,WH-N100000,4,0.968,1.8521798587690466,43.686516,4.946341498427592,4.457541329520089,10.734904565662022,22.32,198.29,0.86,21,18.32,408.9,87.91,174.75,193.07,4309.32,288.0,94.93,6.6,LOW,0.0,0.0,88.74,0.2801,XGBoost,11.06,2026-04-09
SKU-100002,South,Toys,WH-S100000,6,0.968,1.8521798587690466,34.946877,6.225522548543484,4.88047608875093,14.578947043809398,22.32,198.29,0.86,21,28.24,630.32,135.52,209.68,237.92,5310.37,320.0,82.08,9.2,LOW,0.0,0.0,88.74,0.4317,XGBoost,11.06,2026-04-09
SKU-100002,West,Toys,WH-W100000,6,0.968,1.8521798587690466,41.370255,7.251561150690559,5.6204842158726285,13.772481726441118,22.32,198.29,0.86,21,37.83,844.37,157.88,248.22,286.05,6384.64,178.0,-108.05,4.3,HIGH,394.0,8794.08,88.74,0.5783,XGBoost,11.06,2026-04-09
SKU-100003,Central,Beauty,WH-C100000,2,0.931,1.4832801273356213,38.777695,6.532656510571645,5.19108027503604,13.32673418612341,61.85,78.7,0.76,21,16.44,1016.81,161.0,77.56,94.0,5813.9,149.0,55.0,3.8,LOW,0.0,0.0,21.41,0.6964,XGBoost,11.06,2026-04-09
SKU-100003,East,Beauty,WH-E100000,4,0.931,1.4832801273356213,40.30069,4.986398455159016,3.8108028230212985,9.493103106585556,61.85,78.7,0.76,21,17.75,1097.84,173.8,161.2,178.95,11068.06,119.0,-59.95,3.0,HIGH,239.0,14782.15,21.41,0.7519,XGBoost,11.06,2026-04-09
SKU-100003,North,Beauty,WH-N100000,4,0.931,1.4832801273356213,44.851307,4.220127090663713,3.669288090297154,7.952017524945311,61.85,78.7,0.76,21,15.02,928.99,147.13,179.41,194.43,12025.5,251.0,56.57,5.6,LOW,0.0,0.0,21.41,0.6363,XGBoost,11.06,2026-04-09
SKU-100003,South,Beauty,WH-S100000,6,0.931,1.4832801273356213,34.79944,5.339803159775316,4.18097060067313,11.722347462872133,61.85,78.7,0.76,21,23.28,1439.87,227.98,208.8,232.08,14354.15,221.0,-11.08,6.4,HIGH,243.0,15029.55,21.41,0.9862,XGBoost,11.06,2026-04-09
SKU-100003,West,Beauty,WH-W100000,6,0.931,1.4832801273356213,43.818806,6.894118416120324,6.181120282127743,13.272344150507074,61.85,78.7,0.76,21,34.57,2138.15,294.38,262.91,297.48,18399.14,326.0,28.52,7.4,MEDIUM,0.0,0.0,21.41,1.4645,XGBoost,11.06,2026-04-09
SKU-100004,Central,Electronics,WH-C100000,2,0.966,1.825006821146403,48.76391,5.286477901203539,4.769833519345238,9.36135549650808,112.48,134.55,0.33,21,13.64,1534.23,126.57,97.53,111.17,12504.4,116.0,4.83,2.4,MEDIUM,0.0,0.0,16.4,1.0508,XGBoost,11.06,2026-04-09
SKU-100004,East,Electronics,WH-E100000,4,0.966,1.825006821146403,48.431137,4.640000426147897,4.065216427757626,8.046139953105442,112.48,134.55,0.33,21,16.94,1905.41,157.2,193.72,210.66,23695.04,365.0,154.34,7.5,LOW,0.0,0.0,16.4,1.3051,XGBoost,11.06,2026-04-09
SKU-100004,North,Electronics,WH-N100000,4,0.966,1.825006821146403,58.51358,5.880523754640226,4.650539216541109,7.8886367906685715,112.48,134.55,0.33,21,21.46,2413.82,199.14,234.05,255.51,28739.76,166.0,-89.51,2.8,HIGH,345.0,38805.6,16.4,1.6533,XGBoost,11.06,2026-04-09
SKU-100004,South,Electronics,WH-S100000,6,0.966,1.825006821146403,43.27809,6.833000285642746,6.006661551339286,12.897739514227773,112.48,134.55,0.33,21,30.55,3436.26,283.49,259.67,290.22,32643.95,418.0,127.78,9.7,LOW,0.0,0.0,16.4,2.3536,XGBoost,11.06,2026-04-09
SKU-100004,West,Electronics,WH-W100000,6,0.966,1.825006821146403,58.148994,6.327447261976393,4.885166894821894,8.657257780986258,112.48,134.55,0.33,21,32.53,3658.97,262.52,348.89,381.42,42902.12,374.0,-7.42,6.4,HIGH,389.0,43754.72,16.4,2.5061,XGBoost,11.06,2026-04-09
SKU-100005,Central,Home,WH-C100000,2,0.975,1.959963984540054,27.086254,3.686383583125299,2.762972967965262,9.801086525212778,118.88,33.69,0.21,21,10.22,1214.95,63.79,54.17,64.39,7654.68,69.0,4.61,2.5,MEDIUM,0.0,0.0,-252.86,0.8322,XGBoost,11.06,2026-04-09
