item,value
session_date,2026-04-09
total_combos,125
total_safety_stock_units,2310.5
total_safety_stock_value_usd,157292.6
total_annual_storage_cost_usd,21370.33
total_replenishment_cost_usd,780850.78
avg_days_of_supply,6.3
n_critical,0
n_high,41
n_medium,18
n_low,54
n_adequate,12
worst_region,West
worst_category,Beauty
worst_region_buffer_pct,15
worst_category_buffer_pct,20
forecast_model,XGBoost
forecast_wmape_pct,11.06
ma7_baseline_wmape,19.25
improvement_vs_ma7_pct,42.5
annual_holding_rate_pct,25.0
top_urgent_sku,SKU-100006
top_urgent_region,South
