sku_id,region,train_rows,test_rows
SKU-100000,East,1.0,
SKU-100001,South,1.0,
SKU-100002,North,1.0,
SKU-100003,North,1.0,
SKU-100004,West,1.0,
SKU-100005,East,1.0,
SKU-100006,South,1.0,
SKU-100007,South,1.0,
SKU-100008,North,1.0,
SKU-100009,East,1.0,
SKU-100010,East,1.0,
SKU-100011,West,1.0,
SKU-100012,South,1.0,
SKU-100013,North,1.0,
SKU-100014,North,1.0,
SKU-100015,East,1.0,
SKU-100016,West,1.0,
SKU-100017,North,1.0,
SKU-100018,South,1.0,
SKU-100019,East,1.0,
SKU-100020,East,1.0,
SKU-100021,East,1.0,
SKU-100022,East,1.0,
SKU-100023,West,1.0,
SKU-100024,East,1.0,
SKU-100025,North,1.0,
SKU-100026,West,1.0,
SKU-100027,North,1.0,
SKU-100028,North,1.0,
SKU-100029,West,1.0,
SKU-100030,West,1.0,
SKU-100031,East,1.0,
SKU-100032,North,1.0,
SKU-100033,North,1.0,
SKU-100034,East,1.0,
SKU-100035,North,1.0,
SKU-100036,East,1.0,
SKU-100037,East,1.0,
SKU-100038,South,1.0,
SKU-100039,West,1.0,
SKU-100040,West,1.0,
SKU-100041,East,1.0,
SKU-100042,East,1.0,
SKU-100043,East,1.0,
SKU-100044,East,1.0,
SKU-100045,East,1.0,
SKU-100046,East,1.0,
SKU-100047,North,1.0,
SKU-100048,South,1.0,
SKU-100049,East,1.0,
SKU-100050,South,1.0,
SKU-100051,North,1.0,
SKU-100052,West,1.0,
SKU-100053,South,1.0,
SKU-100054,North,1.0,
SKU-100055,East,1.0,
SKU-100056,West,1.0,
SKU-100057,South,1.0,
SKU-100058,East,1.0,
SKU-100059,West,1.0,
SKU-100060,North,1.0,
SKU-100061,South,1.0,
SKU-100062,West,1.0,
SKU-100063,East,1.0,
SKU-100064,South,1.0,
SKU-100065,North,1.0,
SKU-100066,West,1.0,
SKU-100067,North,1.0,
SKU-100068,North,1.0,
SKU-100069,North,1.0,
SKU-100070,West,1.0,
SKU-100071,West,1.0,
SKU-100072,East,1.0,
SKU-100073,North,1.0,
SKU-100074,North,1.0,
SKU-100075,East,1.0,
SKU-100076,West,1.0,
SKU-100077,South,1.0,
SKU-100078,South,1.0,
SKU-100079,West,1.0,
SKU-100080,West,1.0,
SKU-100081,North,1.0,
SKU-100082,North,1.0,
SKU-100083,North,1.0,
SKU-100084,North,1.0,
SKU-100085,West,1.0,
SKU-100086,South,1.0,
SKU-100087,South,1.0,
SKU-100088,South,1.0,
SKU-100089,North,1.0,
SKU-100090,South,1.0,
SKU-100091,South,1.0,
SKU-100092,South,1.0,
SKU-100093,East,1.0,
SKU-100094,East,1.0,
SKU-100095,North,1.0,
SKU-100096,West,1.0,
SKU-100097,South,1.0,
SKU-100098,West,1.0,
SKU-100099,North,1.0,
SKU-100100,East,1.0,
SKU-100101,West,1.0,
SKU-100102,North,1.0,
SKU-100103,South,1.0,
SKU-100104,East,1.0,
SKU-100105,North,1.0,
SKU-100106,North,1.0,
SKU-100107,South,1.0,
SKU-100108,South,1.0,
SKU-100109,North,1.0,
SKU-100110,South,1.0,
SKU-100111,South,1.0,
SKU-100112,West,1.0,
SKU-100113,South,1.0,
SKU-100114,North,1.0,
SKU-100115,East,1.0,
SKU-100116,East,1.0,
SKU-100117,West,1.0,
SKU-100118,North,1.0,
SKU-100119,North,1.0,
SKU-100120,East,1.0,
SKU-100121,West,1.0,
SKU-100122,West,1.0,
SKU-100123,West,1.0,
SKU-100124,South,1.0,
SKU-100125,North,1.0,
SKU-100126,North,1.0,
SKU-100127,West,1.0,
SKU-100128,North,1.0,
SKU-100129,East,1.0,
SKU-100130,West,1.0,
SKU-100131,West,1.0,
SKU-100132,West,1.0,
SKU-100133,South,1.0,
SKU-100134,East,1.0,
SKU-100135,West,1.0,
SKU-100136,South,1.0,
SKU-100137,North,1.0,
SKU-100138,East,1.0,
SKU-100139,South,1.0,
SKU-100140,North,1.0,
SKU-100141,East,1.0,
SKU-100142,West,1.0,
SKU-100143,South,1.0,
SKU-100144,West,1.0,
SKU-100145,South,1.0,
SKU-100146,South,1.0,
SKU-100147,East,1.0,
SKU-100148,North,1.0,
SKU-100149,North,1.0,
SKU-100150,East,1.0,
SKU-100151,North,1.0,
SKU-100152,East,1.0,
SKU-100153,West,1.0,
SKU-100154,East,1.0,
SKU-100155,South,1.0,
SKU-100156,South,1.0,
SKU-100157,East,1.0,
SKU-100158,West,1.0,
SKU-100159,West,1.0,
SKU-100160,West,1.0,
SKU-100161,East,1.0,
SKU-100162,North,1.0,
SKU-100163,East,1.0,
SKU-100164,South,1.0,
SKU-100165,North,1.0,
SKU-100166,East,1.0,
SKU-100167,North,1.0,
SKU-100168,North,1.0,
SKU-100169,West,1.0,
SKU-100170,North,1.0,
SKU-100171,South,1.0,
SKU-100172,East,1.0,
SKU-100173,West,1.0,
SKU-100174,North,1.0,
SKU-100175,North,1.0,
SKU-100176,South,1.0,
SKU-100177,South,1.0,
SKU-100178,West,1.0,
SKU-100179,West,1.0,
SKU-100180,West,1.0,
SKU-100181,North,1.0,
SKU-100182,East,1.0,
SKU-100183,East,1.0,
SKU-100184,West,1.0,
SKU-100185,North,1.0,
SKU-100186,South,1.0,
SKU-100187,West,1.0,
SKU-100188,North,1.0,
SKU-100189,East,1.0,
SKU-100190,South,1.0,
SKU-100191,South,1.0,
SKU-100192,South,1.0,
SKU-100193,South,1.0,
SKU-100194,East,1.0,
SKU-100195,West,1.0,
SKU-100196,North,1.0,
SKU-100197,South,1.0,
SKU-100198,South,1.0,
SKU-100199,East,1.0,
SKU-100200,East,1.0,
SKU-100201,North,1.0,
SKU-100202,North,1.0,
SKU-100203,East,1.0,
SKU-100204,West,1.0,
SKU-100205,North,1.0,
SKU-100206,West,1.0,
